,recipes,urls,images
0,Vegan Meatballs,https://www.simplyrecipes.com/vegan-meatballs-recipe-7110027,https://www.simplyrecipes.com/thmb/a19vX-drZNx6JPiLxinkknRWQEw=/450x300/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Vegan-MeatballsLEAD-12-55c5f73e734d47ea8233e6370031b517.jpg
1,Pesto Chicken Meatballs,https://www.simplyrecipes.com/pesto-chicken-meatballs-recipe-7108940,https://www.simplyrecipes.com/thmb/gROm3HVLmQJ4fFwY66msrfK4-f4=/450x300/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Pesto-Chicken-Meatballs-LEAD-26-e8bcc6962b3d42549ab05750c44f0ab0.jpg
2,How to Temper Chocolate,https://www.simplyrecipes.com/how-to-temper-chocolate-easiest-method-7110223,https://www.simplyrecipes.com/thmb/qXJqlfPTTLQENR5_oOOPB62oSJc=/450x300/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Extra-Rich-Chocolate-Frosting-METHOD-3-version-2-64e1448e7b744cb4a732732b6ba8ecbf.jpg
3,Lok Lak (Shaking Beef),https://www.simplyrecipes.com/lok-lak-shaking-beef-recipe-7089865,https://www.simplyrecipes.com/thmb/rAYr46dtn76ppnnfpbCgKaAZzJc=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Lok-Lak-Mustard-LEAD-06-4b5fba1a87b64b4cad472b261375c272.jpg
4,Oatmeal Banana Cookies ,https://www.simplyrecipes.com/oatmeal-banana-cookies-recipe-7099389,https://www.simplyrecipes.com/thmb/gmH-83ogsJRUB2svE9bFnjE-P5Y=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Oatmeal-Banana-Cookies-LEAD-05-a0047f8e7c2a484c8529ba49db9f90d9.jpg
5,Adobo Chicken Meatballs,https://www.simplyrecipes.com/adobo-chicken-meatballs-recipe-7097608,https://www.simplyrecipes.com/thmb/Y9-Ly4hosuxHiYyA9PlTrWy4oVw=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Chicken-Adobo-Meatballs-LEAD-05-543f271321c142fe84a3acb17ab5dd3c.jpg
6,Egg Masala Curry,https://www.simplyrecipes.com/egg-masala-curry-recipe-7099960,https://www.simplyrecipes.com/thmb/mrE41FdSB8SYfPsimDM_Ste0DjU=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simple-Recipes-Egg-Masala-Curry-Lead-06-1225dad91b8b4531bdc0195fea8fa774.jpg
7,Lion’s Head Meatballs,https://www.simplyrecipes.com/lion-s-head-meatballs-recipe-7097630,https://www.simplyrecipes.com/thmb/V1LnCxr2hVRoHBT_OEinBoeqix0=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Lions-Head-Meatball-LEAD-02-a4f2a9955428409097f0155e98df2b9c.jpg
8,Beef Enchilada Casserole ,https://www.simplyrecipes.com/beef-enchilada-casserole-recipe-7097530,https://www.simplyrecipes.com/thmb/hgwK3f1aGmG27r9qHEjNnQ1cqMQ=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Beef-Enchilada-Casserole-LEAD-02-ad4ba62363a44a85b8f281a806697f44.jpg
9,Oyster Po’ Boy,https://www.simplyrecipes.com/oyster-po-boy-recipe-7100340,https://www.simplyrecipes.com/thmb/iszZyoeNmaAXysLMUeams9RPGGc=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Oyster-PoBoy-LEAD-03-919049a1cacb4b78881ced4ea2eac4a7.jpg
10,Potato Kugel,https://www.simplyrecipes.com/potato-kugel-recipe-7099338,https://www.simplyrecipes.com/thmb/x_jVNzSaVso3i17y9w8XOwP6HbY=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Passover-Potato-Kugel-LEAD-01-e883eff6daf348d39a65f94919e8298c.jpg
11,3-Ingredient Banana Pancakes,https://www.simplyrecipes.com/3-ingredient-banana-pancakes-recipe-7098119,https://www.simplyrecipes.com/thmb/BgiOxhgFQGh2AccfZG3HmqSTbgY=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-3-Ingredients-Banana-Pancake-LEAD-06-881d05632ab647e2990d5ff091159848.jpg
12,Microwave Rice,https://www.simplyrecipes.com/microwave-rice-recipe-7099898,https://www.simplyrecipes.com/thmb/WK7o65_zOlJKYvtasliiacnfRn8=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/SimplyRecipes_MicrowaveRice-LEAD-3-c1b036addf0c4d7d8c18e2e15a48b513.jpg
13,Microwave Bacon,https://www.simplyrecipes.com/microwave-bacon-recipe-fast-and-easy-7099909,https://www.simplyrecipes.com/thmb/1_2W3v80i74m1WDfoYGbY0cuRI0=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Microwave-Bacon-LEAD-3-3b6c20139db04ac7a10409e10865aa1a.jpg
14,Creamy White Bean Soup with Sage Gremolata ,https://www.simplyrecipes.com/creamy-white-bean-soup-with-sage-gremolata-recipe-7099268,https://www.simplyrecipes.com/thmb/tvjp3fAQVHVPADhcinACKX_scac=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Creamy-White-Bean-Soup-LEAD-14-1d6848d3d74f4226b6fe0878474290e1.jpg
15,Blueberry Muffin Tops,https://www.simplyrecipes.com/blueberry-muffin-tops-recipe-7098956,https://www.simplyrecipes.com/thmb/LzwTIankT6rDYc-dc8eoiTB_0Fc=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/SimplyRecipes_BlueberryMuffinTops-LEAD-6-207bd1750f304b8a97677e9efb1e45fd.jpg
16,Pancit Bihon (Filipino Rice Noodles),https://www.simplyrecipes.com/pancit-bihon-filipino-rice-noodles-7099214,https://www.simplyrecipes.com/thmb/JSWDlLtSX3HJ49veYHfVL4s2VOI=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Pancit-Bihon-Bowls-LEAD-07-06bb454291ca49088efeca4a9b232ebd.jpg
17,How to Melt Chocolate Chips,https://www.simplyrecipes.com/how-to-melt-chocolate-chips-7092882,https://www.simplyrecipes.com/thmb/bnh6kwDvEeAwEK21kRX5EobPZZY=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Snickers-Dates-METHOD-04-568256d5d86b42b79377555bdb48e5db.jpg
18,Red Enchilada Sauce,https://www.simplyrecipes.com/red-enchilada-sauce-recipe-7097284,https://www.simplyrecipes.com/thmb/EHSDljQ7MOfemPnR1LS2tSYVMJw=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/SERP1-Simply-Recipes-Chicken-Enchilada-Casserole-METHOD-07-cc18985ca1e445df8662f9d053740aaf.jpg
19,Microwave Sweet Potato,https://www.simplyrecipes.com/microwave-sweet-potato-recipe-7095968,https://www.simplyrecipes.com/thmb/cgRvRIu9rpFalxJUJeT-a6oX4Co=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Microwave-Sweet-Potato-LEAD-1-5d8be9e95deb4c348eb5d627f57e21b2.jpg
20,Sheet Pan Buttermilk Pancakes ,https://www.simplyrecipes.com/sheet-pan-buttermilk-pancakes-recipe-7095837,https://www.simplyrecipes.com/thmb/SRwzbTKPjrnjSKlrQJYvz3YmYJs=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes_Sheetpan-Pancakes_LEAD_1-35bc4ba55c1645c28de43199115d9f2a.jpg
21,Braised Short Ribs with Root Beer BBQ Sauce,https://www.simplyrecipes.com/braised-short-ribs-with-root-beer-bbq-sauce-recipe-7092519,https://www.simplyrecipes.com/thmb/_BaywIFynqyYlQ2d56v7jTBpJO4=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Brasied-BBQ-Ribs-LEAD-02-11223a61bfbc432e8aa7581732caf99d.jpg
22,Shrimp and Chorizo Chowder,https://www.simplyrecipes.com/shrimp-and-chorizo-chowder-recipe-7095986,https://www.simplyrecipes.com/thmb/SPnQWIUbNN9Ib2-4uGNEZa1JHAM=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Shrimp-Chorizo-Chowder-LEAD-01-22e141178aba43baade0da7c7cbee88f.jpg
23,Garam Masala Fish Sticks,https://www.simplyrecipes.com/garam-masala-fish-sticks-recipe-7094148,https://www.simplyrecipes.com/thmb/vHLksmpQercRi3RjHXpyEngIXB8=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Garam-Masala-Fish-Sticks-LEAD-5-e87828b2b71d4e9cb94ce56f336923f8.jpg
24,Roasted Sweet Potato Salad,https://www.simplyrecipes.com/roasted-sweet-potato-salad-recipe-7092466,https://www.simplyrecipes.com/thmb/iCDAMFvdtvYLiHSvTBQ3xDiodIo=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Roasted-Sweet-Potato-Salad-SEO-5151d0274e5041029c8875bceb386db5.jpg
25,Chocolate Mayonnaise Sheet Cake,https://www.simplyrecipes.com/chocolate-mayonnaise-sheet-cake-recipe-7089733,https://www.simplyrecipes.com/thmb/mJxU66jb9xaQS6qlAdPeFcmxC8I=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Chocolate-Mayonnaise-Sheet-Cake-Lead-09-d152d3de4179450388265d2fb0b19ffb.jpg
26,Vegan Patty Melt,https://www.simplyrecipes.com/vegan-patty-melt-with-homemade-thousand-island-recipe-7092248,https://www.simplyrecipes.com/thmb/oviyFPviXwUG-2MOkGq1A8rBgvM=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Patty-Melt-LEAD-4copy2-0b1c45d2295746d7bf105e0193a93d1e.jpg
27,Seafood Congee (Tang Jai Jook),https://www.simplyrecipes.com/seafood-congee-tang-jai-jook-recipe-7089691,https://www.simplyrecipes.com/thmb/uHld4uIBIcpYQYOQp0MAi1V2Zz0=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Seafood-Congee-LEAD-08-4ee24c792d5d4e2bbebc8fffa58e14be.jpg
28,Vegan Chicken Nuggets,https://www.simplyrecipes.com/vegan-chicken-nuggets-recipe-7091022,https://www.simplyrecipes.com/thmb/n91Csxc5udyPEG-FjCWvoMKCd94=/300x225/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Vegan-Chicken-Nuggets-LEAD-2-e0348411168648e0ad0c1f1c9944a294.jpg
